N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	10	10	10	(0, 128, 0)	4.900000233093314	8.939285191238406	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	10	10	10	10	(0, 128, 0)	5.5999880982551975	8.939285191238406	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	10	10	10	10	(0, 128, 0)	5.60000029107187	8.939285191238406	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	10	10	10	10	(0, 128, 0)	6.299999062744387	8.939285191238406	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	10	10	10	10	(0, 128, 0)	6.300000348820685	8.939285191238406	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	10	10	10	10	(0, 128, 0)	7.000000253642217	8.939285191238406	-4.299968580389643 0.012157190584530353 -3.599971545468906 0.010112909756589555 -2.899974470708393 0.00807510499176826 -2.1999773584091438 0.006052406826138798 -1.4999801861326865 0.004051777987795436 -0.7999829436754925 0.002075857152812323 -0.09998563582390213 0.00012200562942856512 0.6000117203065625 -0.0018167393256606822 1.3000090733868404 -0.003749008096037888 
10	0.7	21.004	1	10	10	10	10	(0, 128, 0)	7.699999218807196	8.939285191238406	-4.999953661921448 0.0168415619771273 -4.299958653958931 0.014205707075592728 -3.5999635790103977 0.011594534057218999 -2.8999683310984348 0.009042921982062541 -2.1999727881916145 0.006582726517613319 -1.4999768785073235 0.0042326007384003266 -0.7999805961255074 0.001992465732739784 -0.09998399510878805 -0.00015644420299549674 0.6000128322824326 -0.00224599086642395 1.3000097577316136 -0.004310962036650742 
11	0.7	24.001	1	10	10	10	10	(0, 128, 0)	8.399997766583075	8.939285191238406	-5.699936634671397 0.021754377257975015 -4.999943876935254 0.018589791347614206 -4.299951030513521 0.01546297502683691 -3.599957876442787 0.01242744725983778 -2.899964191316708 0.00953280902319619 -2.19996984142341 0.00681031620137841 -1.4999748056034454 0.004265648739369785 -0.7999791601741837 0.0018791437269684306 -0.09998304216798261 -0.00038784353647557395 0.6000133921628265 -0.0025826595124370678 1.3000099756916454 -0.0047492940938182035 
6	0.7	27.002	2	10	10	10	10	(185, 128, 74)	4.809285313108754	8.596916840981589	-3.1889093561196415 -0.04700680372214109 -3.8604644660402005 -0.020246371307101295 -4.535976647830871 0.006084506745430975 -5.216512727827406 0.03187437540623902 -5.902905340978019 0.057313045529062266 -6.595722998368281 0.0827277365723339 
6	0.7	27.002	2	10	10	10	10	(114, 105, 173)	4.809259998770825	7.7917902963087	-1.911562884296057 -0.04740923345507479 -1.2397681975532944 -0.027850724555540118 -0.5640233106519505 -0.008619642195176727 0.1167363818744587 0.01019604738088365 0.803346623491584 0.028737415769101805 1.4963813186976271 0.04725221823964386 
