N disks	Disks radius	time	Gen	Method	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	7	10	0.5	0.5	10	(0, 128, 0)	4.900000011654662	8.643267301282798	-2.2000000058273286 1.0244426946986012e-16 -1.500000004370497 -2.3259081462596338e-17 -0.8000000014568318 -7.918518800726361e-17 -0.09999999854316603 -7.918518800726318e-17 0.6000000043704998 -2.325908146259585e-17 1.3000000058273324 1.0244426946985879e-16 
7	0.7	6.002	1	7	10	0.5	0.5	10	(0, 128, 0)	5.59999279606429	8.643267301282798	-2.8999623712601363 0.0076146157119525125 -2.1999923350450654 0.00135006266552112 -1.4999972777461057 -0.00042750432400796585 -0.799998753310678 -0.00018008857379266815 -0.0999995135166199 3.8842691146439466e-07 0.6000001732491307 8.505762075467661e-06 1.3000000682308763 1.7240792769957377e-07 
7	0.7	9.003	1	7	10	0.5	0.5	10	(0, 128, 0)	5.599999809688116	8.643267301282798	-2.899987730195939 0.005166503624956158 -2.1999908790170672 0.0030716149389657024 -1.4999932263193312 0.001272000468203863 -0.7999943266743387 6.0419610908320484e-05 -0.09999457913734618 -0.00047372966142568114 0.6000053914914241 -0.0004816888165046112 1.300005340453998 -0.0002489680885161236 
8	0.7	12.000	1	7	10	0.5	0.5	10	(0, 128, 0)	6.299998430968795	8.643267301282798	-3.5999632605799703 0.011429949808558694 -2.899977410619156 0.007001062326434432 -2.1999868553875324 0.003422528832943325 -1.4999907117446516 0.0012103426439813072 -0.7999918166274148 0.00015167968189111087 -0.0999921867219451 -0.0002937999911137791 0.6000076163442586 -0.0005295076933463382 1.3000075076311406 -0.0007246074326533944 
8	0.7	15.001	1	7	10	0.5	0.5	10	(0, 128, 0)	6.2999997298429165	8.643267301282798	-3.5999715093763887 0.010310170424222005 -2.8999787514385362 0.007129461599720665 -2.1999847756952993 0.004234363510982012 -1.4999886014649118 0.0019384312255982636 -0.799990365121993 0.00039661268704470944 -0.09999093388787329 -0.0004554306550360945 0.6000089297168177 -0.0008444100705131315 1.3000088895629127 -0.001041550545323074 
9	0.7	18.003	1	7	10	0.5	0.5	10	(0, 128, 0)	6.999999352093212	8.643267301282798	-4.299943622793125 0.016953081836639655 -3.5999599357755905 0.012179613474047704 -2.899973506703302 0.007834710586873524 -2.1999822840433785 0.004355793818291903 -1.4999866582324421 0.0019208423644116344 -0.799988393442439 0.00041292152818908276 -0.09998900367844385 -0.00045275446975625504 0.6000107550163648 -0.0009769642660859667 1.300010614497526 -0.001384549674428481 
10	0.7	21.004	1	7	10	0.5	0.5	10	(0, 128, 0)	7.699998860052645	8.643267301282798	-4.999905215737288 0.024495658305450894 -4.299933415084574 0.018219596268502756 -3.599956767807178 0.01251963845987091 -2.899972194648456 0.007903798303650638 -2.1999806956650216 0.00449664487196223 -1.4999848912764062 0.0021242072005309516 -0.799986832928342 0.0005350249456971244 -0.09998768868837507 -0.0004923250391401124 0.6000119232928048 -0.0011637459735628652 1.300011697322419 -0.0016840860571425236 
11	0.7	24.001	1	7	10	0.5	0.5	10	(0, 128, 0)	8.399998452318872	8.643267301282798	-5.699855554154794 0.032951175528434844 -4.999897568648246 0.02528967476474712 -4.299932226562421 0.018343381739510816 -3.599955832768966 0.012625636736932044 -2.8999703314424514 0.008158340221447558 -2.1999788428693132 0.004750150275315108 -1.4999834865880088 0.002252201574110016 -0.7999857281815063 0.0005423415116146965 -0.09998671799312349 -0.0005660966085912234 0.6000128083710355 -0.001316944162859624 1.30001250198031 -0.001933678783821341 
6	0.7	27.002	2	7	10	0.5	0.5	10	(10, 238, 11)	4.811975575753143	8.158127179149648	-3.1912257825218506 -0.12090226744911253 -3.8574057933478065 -0.025220111742175574 -4.531634181500974 0.032618389834613036 -5.212563524058809 0.062044057924988426 -5.899380959102589 0.08576259080834311 -6.592322416974758 0.11265101058534008 
6	0.7	27.002	2	7	10	0.5	0.5	10	(247, 216, 131)	4.811933965288063	9.568704305437969	-1.9102772406854844 -0.12485998234421841 -1.2429450331281673 -0.03770992840225035 -0.5680968263525321 0.012240046662700423 0.11312591557463683 0.03357722789563957 0.8001891854529386 0.048388102043420894 1.4934324349543064 0.06577270357483148 
6	0.7	30.003	2	7	10	0.5	0.5	10	(10, 238, 11)	4.894021836499362	8.158127179149648	-3.2468327233026644 -0.129869432853676 -3.9405696314136223 -0.051372958898952936 -4.6356109001631856 0.017231681140952127 -5.332402639027694 0.06943237948838549 -6.030551405329295 0.10654106611510483 -6.729488787014828 0.13606305484445663 
