N disks	Disks radius	time	Gen	ks	kt_bot	kt_par	kc	color	current length	div_length	X
6	0.7	3.001	1	10	10	10	5	(0, 128, 0)	4.900000233093314	9.803672713816576	-2.200000116546657 1.4287546703519706e-16 -1.5000000874099901 -2.857509197987497e-17 -0.8000000291366638 -1.1430037505532248e-16 -0.09999997086333844 -1.143003750553224e-16 0.6000000874099888 -2.8575091979874795e-17 1.3000001165466568 1.4287546703519736e-16 
7	0.7	6.002	1	10	10	10	5	(0, 128, 0)	5.5999880982551975	9.803672713816576	-2.8999802869210862 0.005287909407459368 -2.1999856754127616 0.0030723979849453763 -1.4999913958888225 0.0011895970620438958 -0.7999957937253416 -4.026752138862075e-05 -0.09999821385476013 -0.0005325908257995054 0.6000008018927178 -0.00046476137218666105 1.300000443790153 -0.00014613282387870936 
7	0.7	9.003	1	10	10	10	5	(0, 128, 0)	5.60000029107187	9.803672713816576	-2.8999912980306384 0.0038843264597381894 -2.1999918428678438 0.0029879324286163494 -1.4999923585887018 0.002091540798036498 -0.7999928743160634 0.0011951542356605088 -0.0999933900355327 0.00029877383608492824 0.6000060942644813 -0.0005976014953200662 1.3000055494543907 -0.0014939743516212615 
8	0.7	12.000	1	10	10	10	5	(0, 128, 0)	6.299999062744387	9.803672713816576	-3.599979582764504 0.008128276627201584 -2.8999816886612018 0.006438726845655835 -2.199983785191047 0.004775842926839678 -1.4999858018760606 0.0031723014492830793 -0.7999876596570095 0.0016494391528854432 -0.09998932511609752 0.0002072558455389216 0.6000091878583584 -0.0011755854876377562 1.3000078074119354 -0.0025317613436450347 
8	0.7	15.001	1	10	10	10	5	(0, 128, 0)	6.300000348820685	9.803672713816576	-3.5999807315184427 0.00791359060889683 -2.899982359810763 0.006390334019037909 -2.199983958882324 0.004867140343424133 -1.499985557684275 0.0033440868191444107 -0.7999871560840847 0.0018212238384790707 -0.09998875405697238 0.00029855140137420295 0.6000096483103361 -0.0012239808845501737 1.300008021730903 -0.0027464501296846416 
9	0.7	18.003	1	10	10	10	5	(0, 128, 0)	7.000000253642217	9.803672713816576	-4.299968580389643 0.012157190584530353 -3.599971545468906 0.010112909756589555 -2.899974470708393 0.00807510499176826 -2.1999773584091438 0.006052406826138798 -1.4999801861326865 0.004051777987795436 -0.7999829436754925 0.002075857152812323 -0.09998563582390213 0.00012200562942856512 0.6000117203065625 -0.0018167393256606822 1.3000090733868404 -0.003749008096037888 
10	0.7	21.004	1	10	10	10	5	(0, 128, 0)	7.699999228760042	9.803672713816576	-4.299969727425776 0.012557669561035196 -3.599972817237906 0.010487421234986406 -2.899976002816787 0.008393290182092885 -2.199979409503457 0.0062414682467038405 -1.4999831265112664 0.004000989313627545 -0.7999872056943057 0.0016536133325840854 -0.09999164055894216 -0.000800739108658626 0.6000036392094439 -0.003343941302844677 1.2999987524286056 -0.005945033302345212 1.9999938012058378 -0.008570115091160482 
11	0.7	24.001	1	10	10	10	5	(0, 128, 0)	8.399997766136028	9.803672713816576	-4.29996997544367 0.012984321268781426 -3.599973386994092 0.010819293341045491 -2.8999769474325623 0.008626171916612987 -2.1999808233146334 0.006361094993134526 -1.4999851702523752 0.0039768400511529 -0.7999901247105369 0.0014348477424080278 -0.0999957626583413 -0.0012845189297845498 0.5999979370689008 -0.004175618381939483 1.2999911078012434 -0.007207286659479721 1.9999839722601676 -0.010330044720409107 2.6999767486381665 -0.01349049300810016 
12	0.7	27.002	1	10	10	10	5	(0, 128, 0)	9.0999967233995	9.803672713816576	-4.999949008674845 0.01901396288173005 -4.29995683683333 0.015733736281506396 -3.599964617852951 0.012490690108504692 -2.8999721324615724 0.009332727032354141 -2.199979182847864 0.006296225783111186 -1.4999856850872828 0.0033927687766180633 -0.7999916752504892 0.00060724329862423 -0.09999727026711053 -0.0020940364190200414 0.5999973900045636 -0.004749842487546023 1.2999921930881355 -0.007391238943045258 1.9999870798777377 -0.01003451220436739 2.6999820124979244 -0.01268197639098905 
13	0.7	30.003	1	10	10	10	5	(0, 128, 0)	9.799996776826061	9.803672713816576	-5.699929245988866 0.02442146854623365 -4.999939762942976 0.0206082600994066 -4.299950131353499 0.016844493018395176 -3.599960003412106 0.013197865202642793 -2.8999690606660784 0.009727198379128332 -2.199977140982703 0.006464145076788327 -1.4999842602163402 0.003406588915589761 -0.7999905706996646 0.0005232846653574727 -0.09999628996367688 -0.0022338423650947433 0.5999983672084941 -0.004915032444261473 1.299993234017872 -0.007560757152877964 1.9999882092103956 -0.010195791947815055 2.6999832215097643 -0.012829997186846867 
